"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","S1211EC-16-ND","PRPC016SFAN-RC","CONN HEADER VERT 16POS 2.54MM","","2","0","0.45000","0.90"
"2","2","2057-2PH2-14-UA-ND","2PH2-14-UA","CONN HEADER VERT 14POS 2MM","","2","0","0.31000","0.62"
"3","3","311-47.0KCRCT-ND","RC0805FR-0747KL","RES SMD 47K OHM 1% 1/8W 0805","","3","0","0.10000","0.30"
"4","1","SST39SF010A-70-4C-WHE-ND","SST39SF010A-70-4C-WHE","IC FLASH 1M PARALLEL 32TSOP","","1","0","1.02000","1.02"
"5","1","2223-DS05-127-2-02BK-SMT-CT-ND","DS05-127-2-02BK-SMT-TR","DIP SWITCH, SPST, 1.27 PITCH, FL","","1","0","1.11000","1.11"
